AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
935,27611,20140401,20190117,Elisabeth Stouvenlaan 2,"(50.845217511, 5.67908343)"
935,27609,20140401,20190117,Brandenburgerweg,"(50.847524703, 5.678215589)"
935,27823,20140401,20190117,Sibemaweg 95 overzijde,"(50.848497575, 5.718593205)"
935,27629,20140401,20190117,Lambr. van Middelhovenweg / Ambachtsweg,"(50.846157376, 5.677998386)"
935,27911,20140401,20190117,Kennedybrug 3 (Stay Okay),"(50.843280191, 5.697464349)"
935,27559,20140401,20190117,Brusselseweg 99,"(50.85267734, 5.671256491)"
935,27659,20140101,,Fatimaplein 3,"(50.844379927, 5.670819165)"
935,27827,20140401,20190117,Oranjeplein 86,"(50.846870538, 5.71310066)"
935,27578,20140401,20190117,Via Regia / naast 155A-157C,"(50.852573349, 5.66621173)"
935,27687,20140401,20190117,Hoge Kanaaldijk 4 / perceel 60,"(50.835385389, 5.69463196)"
935,27811,20140401,20190117,Scharnerweg 65,"(50.848765542, 5.716580412)"
243,38404,20170101,20190201,Smeepoortstraat,"(52.346541412, 5.616893339)"
243,38411,20170101,20190201,Stadswerven,"(52.352636498, 5.623990551)"
243,38414,20190201,,Stadswerven,"(52.352516083, 5.622988357)"
243,38411,20170101,,Stadswerven,"(52.353569185, 5.622665808)"
243,38407,20180101,,Boulevard,"(52.352502864, 5.618149295)"
243,38414,20190201,,Stadswerven,"(52.3531095, 5.622096754)"
243,38411,20190201,,Stadswerven,"(52.352913791, 5.62365455)"
243,38411,20170101,20190123,Stadswerven,"(52.353525111, 5.622577804)"
243,38402,20170101,20190201,Kerkplein,"(52.348934045, 5.615468972)"
243,38411,20170101,20190123,Stadswerven,"(52.352636492, 5.62399055)"
363,18215,20140620,,Piarcoplein_BORD,"(52.389954678, 4.838433329)"
202,26001,20190116,,,"(51.978407007, 5.913302938)"
715,45320,20190101,,Zone5,"(51.336785102, 3.832891111)"
715,45320,20190101,,Zone5,"(51.334228823, 3.824776209)"
202,26001,20190116,,,"(51.974967888, 5.913361648)"
202,26071,20190116,,,"(51.983551303, 5.922889963)"
715,45320,20190101,,Zone5,"(51.335790041, 3.827795708)"
202,26001,20190116,,,"(51.978326758, 5.907617817)"
202,26082,20190116,,,"(51.975760953, 5.919349998)"
202,26001,20190116,,,"(51.979902469, 5.902336773)"
202,26071,20190116,,,"(51.979967997, 5.922497658)"
715,45320,20190101,,Zone5,"(51.336853727, 3.826406052)"
202,26001,20190116,,,"(51.977980098, 5.907748694)"
202,26033,20190116,,,"(51.990043306, 5.899494037)"
202,26001,20190116,,,"(51.982826478, 5.89948409)"
1900,51812,20140601,,"Sneek, Normandiaplein. Parkeermeter 0302, ? 1,20 per uur, max. 2 uur","(53.035348046, 5.665966524)"
202,26021,20190116,,,"(51.985819153, 5.896197234)"
202,26034,20190116,,,"(51.99023204, 5.893038573)"
202,26001,20190116,,,"(51.977012825, 5.90716026)"
1900,51876,20140601,,"Bolsward, Snekerpoort, Pmeter 9205,1e 15min ?0,20, dan per 7min.?0,10.Max1,5uur","(53.062380702, 5.52611972)"
202,26075,20190116,,,"(51.984469445, 5.920106396)"
518,2246,20140102,,P V DUYSESTR 47 (5069),"(52.052442276, 4.314040741)"
202,26001,20190116,,,"(51.977491218, 5.906477101)"
202,26001,20190116,,,"(51.978785226, 5.90298122)"
202,26031,20190116,,,"(51.986916135, 5.902210975)"
202,26075,20190116,,,"(51.984111954, 5.918283392)"
935,27583,20140101,,Becanusstraat 49,"(50.849314983, 5.667349066)"
935,27692,20140401,,Lage Kanaaldijk 4 / perc 46B,"(50.83538699, 5.694029586)"
935,27818,20140401,,Heerder Groenweg 23,"(50.847973316, 5.715707085)"
935,27656,20140101,,Florasingel / Fatimaplein,"(50.844063216, 5.669997367)"
202,26071,20190116,,,"(51.978816812, 5.921877365)"
202,26001,20190116,,,"(51.980235765, 5.912184727)"
518,2263,20171130,,V W V DIJKVELDSTR 65 (5483),"(52.093951854, 4.280046127)"
202,26071,20190116,,,"(51.981284055, 5.919411124)"
202,26082,20190116,,,"(51.976571522, 5.918963763)"
202,26001,20190116,,,"(51.977309759, 5.913118212)"
202,26071,20190116,,,"(51.980338973, 5.924457557)"
518,2263,20171130,,V BLEISWIJKSTR 143 (5465),"(52.093951854, 4.280046127)"
202,26041,20190116,,,"(51.986232124, 5.906687592)"
715,45320,20190101,,Zone5,"(51.339015414, 3.827709926)"
202,26071,20190116,,,"(51.980553226, 5.921277054)"
363,12217,20060404,,BELLAMYSTRAAT 20 T/O,"(52.367230183, 4.86628698)"
202,26075,20190116,,,"(51.983679643, 5.915986471)"
202,26041,20190116,,,"(51.987067929, 5.907957567)"
202,26021,20190116,,,"(51.98588302, 5.897069101)"
202,26061,20190116,,,"(51.983914566, 5.91406806)"
202,26082,20190116,,,"(51.976884033, 5.91809731)"
